filename	word_count
1053	302709
1054	189997
1055	179249
1056	183203
1057	185558
1058	146452
1059	256537
1060	159217
1061	245642
1062	107734
1063	384316
1064	167319
1065	97086
1066	318352
1067	169454
1068	319554
1069	343657
1070	354567
1071	194155
1072	289447
1073	185356
1074	188707
1075	181235
1076	253331
1077	258691
1078	126577
1079	163770
1080	459897
1081	216915
1082	311881
1083	380067
1084	156427
1085	350667
1086	145304
1087	223808
1088	339289
1089	242414
1090	181976
1091	262833
1092	249240
1093	168328
1094	309946
1095	346394
1096	165222
1097	346486
1098	434550
1099	376128
1100	393854
1101	418560
1102	373728
1103	420770
1104	402830
1105	295839
1106	128098
1107	355481
1108	408714
1109	228012
1110	314896
1111	511545
1112	315988
1113	578640
1114	449070
1115	216951
1116	308956
1117	337226
1118	434880
1119	856998
1120	374138
1121	385456
1122	377012
1123	193227
1124	342707
1125	233866
1126	306238
1127	482618
1128	405594
1129	360683
1130	270320
1131	504586
1132	338220
1133	398325
1134	270392
1135	557882
1136	474545
1137	217718
1138	463537
1139	551353
1140	403230
1141	339131
1142	284377
1143	227188
1144	505232
1145	301164
1146	259025
1147	361390
1148	276711
1149	250786
1150	279947
1151	268462
1152	321944
1153	369460
1154	225267
1155	280226
1156	284871
1157	359209
1158	382145
1159	333147
1160	234552
1161	272836
1162	209125
1163	166325
1164	238561
1165	355199
1166	238009
1167	179942
1168	228058
1169	171382
1170	254366
1172	104153
1173	120095
1174	106697
1175	282234
1176	214106
1177	167111
1178	171933
1180	102037
1181	104166
1182	169749
1183	195028
1184	137613
1185	191049
1186	300933
1187	154256
1188	312281
1189	173556
1190	200640
1191	150283
1192	144205
1193	248617
1194	143174
1195	175329
1196	181363
1197	157374
1198	185648
1199	231852
1200	177126
1201	152586
1202	173601
1203	234811
1204	166052
1205	221938
1206	243482
1207	146729
1208	255374
1209	245570
1210	236540
1211	284593
1212	182535
1213	250425
1214	221514
1215	278140
1216	208581
1217	192385
1218	212523
1219	151908
1220	384029
1221	330676
1222	207028
1223	190252
1224	228531
1225	237928
1226	219959
1227	190636
1228	202924
1229	378841
1230	183229
1231	370387
1232	453605
1233	443287
1234	266723
1235	307230
1236	423860
1237	171104
1238	292892
1239	404830
1240	518573
1241	297117
1242	346545
1243	657553
1244	316448
1245	490525
1246	472656
1247	53541
1248	413570
1249	70491
1250	89219
1251	624120
1252	374737
1253	329604
1254	428154
1255	383812
1256	345023
1257	402468
1258	358998
1259	437573
1260	325004
1261	385244
1262	193767
1263	339850
1264	654230
1265	361149
1266	487173
1267	442452
1268	518985
1269	392789
1270	417891
1271	435523
1272	253791
1273	342546
1274	366723
1275	267632
1276	293524
1277	329707
1278	268595
1279	575972
1280	233119
1281	477844
1282	254670
1283	301321
1284	304801
1285	309899
1286	154742
1287	310924
1288	465371
1289	28809
1290	317737
1291	334925
1292	265462
1293	595503
1294	397207
1296	213110
1297	642637
1298	329033
1299	308257
1300	466258
1301	532351
1302	424886
1303	72755
1304	344370
1305	546397
1306	258287
1307	459286
1308	448227
1309	538566
1310	122955
1311	299334
1312	209884
1313	481133
1314	149825
1315	375136
1316	343461
1317	429940
1318	458180
1319	280461
1320	441372
1321	452685
1322	223923
1323	368594
1324	340618
1325	415544
1326	389168
1327	223560
1328	446519
1329	566900
1330	373768
1331	194237
1332	111015
1333	415865
1334	521119
1335	448911
1336	278142
1337	106535
1338	301038
1339	417412
1340	529868
1341	280216
1342	307897
1343	380943
1344	528729
1345	557191
1346	382608
1347	329566
1348	268010
1349	537942
1350	579423
1351	484568
1352	340252
1353	229405
1354	181197
1355	349422
1356	474436
1357	461009
1358	329163
1359	548961
1360	578629
1361	333618
1362	200807
1363	168199
1364	346954
1365	303391
1366	637464
1367	227948
1368	452396
1369	470971
1370	649243
1371	281305
1372	239318
1373	546267
1374	450763
1375	521955
1376	306082
1377	433448
1378	468742
1379	448078
1380	343430
1381	353381
1382	325521
1383	518161
1384	431582
1385	356811
1386	288265
1387	343668
1388	253785
1389	343305
1390	270308
1391	450683
1392	316909
1393	158053
1394	346371
1395	253500
1396	413900
1397	192629
1398	391279
1399	278898
1400	409617
1401	252188
1402	213444
1403	378966
1404	294069
1405	392858
1406	364272
1407	329531
1408	405747
1409	278755
1410	384964
1411	311670
1412	276601
1413	194421
1414	387559
1415	315116
1416	311544
1417	345971
1418	333260
1419	305188
1420	273779
1421	373871
1422	320220
1423	350131
1424	469484
1425	275964
1426	545914
1427	186770
1428	443667
1429	452231
1430	478489
1431	408223
1432	452728
1433	261107
1434	280288
1435	369688
1436	403337
1437	367839
1438	509957
1439	501596
1440	248510
1441	204046
1442	154129
1443	190171
1444	277094
1445	369834
1446	226576
1447	300309
1448	214490
1449	240710
1450	279746
1451	283013
1452	408549
1453	451421
1454	496101
1455	406738
1456	204366
1458	546768
1459	399060
1460	276963
1461	281158
1462	226716
1463	355355
1464	316025
1465	254059
1466	214955
1467	268768
1468	244524
1469	306265
1470	185045
1471	221165
1472	413764
1473	424220
1474	468808
1475	220902
1476	339485
1477	347335
1478	322966
1479	338974
1480	202945
1481	323496
1482	313032
1483	341308
1484	153408
1485	269038
1486	341398
1487	302035
1488	138854
1489	291970
1490	178961
1491	255729
1492	269333
1493	178918
1494	322725
1495	196855
1496	470426
1497	332182
1498	363160
1499	403805
1500	302184
1501	317287
1502	269432
1503	206555
1504	234137
1505	264262
1506	415209
1507	374029
1508	256097
1509	269720
1510	217218
1511	226489
1512	161516
1513	493948
1514	391584
1515	212664
1516	360188
1517	222489
1518	281816
1519	376296
1520	328584
1521	289163
1522	183577
1523	317374
1524	308294
1525	265607
1526	336736
1527	470254
1528	350486
1529	225100
1530	395779
1531	221968
1532	328264
1533	230562
1534	205225
1535	371876
1536	327921
1537	335701
1538	277269
1539	232905
1540	183170
1541	315495
1542	397947
1543	208250
1544	482590
1545	260204
1546	333908
1547	206619
1548	233339
1549	272793
1550	239735
1551	343483
1552	100968
1553	143566
1554	280788
1555	153217
1556	364585
1557	436626
1558	273677
1559	359958
1560	203256
1561	127076
1562	264786
1563	407554
1564	199111
1565	470608
1566	274580
1567	228444
1568	237092
1569	392904
1570	300557
1571	251710
1572	169432
1573	391616
1574	365067
1575	172960
1576	312188
1577	187737
1578	188550
1579	328116
1580	367989
1581	380520
1582	275598
1583	206180
1584	177669
1585	130722
1586	143915
1587	227687
1588	184602
1589	250429
1590	251994
1591	250012
1592	189721
1593	517067
1594	74102
1595	363418
1596	378737
1597	364636
1598	224072
1599	182513
1600	228191
1601	106818
1602	174233
1603	380681
1605	192893
1606	66729
1607	219664
1608	372751
1609	299272
1610	416155
1611	459541
1612	219663
1613	214913
1614	328809
1616	325110
1617	258183
1618	318246
1619	208420
1620	225972
1621	137712
1622	235527
1623	291900
1624	331712
1625	376739
1626	253930
1627	209369
1628	208120
1629	208366
1630	502268
1631	144636
1632	160013
1633	131868
1634	262228
1635	415419
1636	316043
1637	330034
1638	426335
1639	360297
1640	224201
1641	247515
1642	386885
1643	223652
1644	167502
1645	166689
